,title,question,answer
0,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","Hey, Aaron, how’s it going?", I can’t complain; just chillin’ with my girlfriend in New York at the moment.
1,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Can you walk right now?," Yeah, I can walk. I actually got the okay to start skating already at four months out from surgery. I’ve been beasting on the PT. I go to the gym all the time and go to PT twice a week. I’m walkin’ a lot and trying to stay active."
2,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",That’s great to hear. Let’s go back. How did you injure your knee?," I was skating with Jon Colyer and Joe Brook a lot, going back and forth to Portland to work on this interview. Jon and Joe were both going to leave on trips, but I really wanted to get one more clip and photo to finish it off. The deadline we put on ourselves was coming up and I needed to get back to New York. I remember thinking, "
3,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Were you freaking out?," I’m prescribed anxiety medication for some mental-health stuff. I started feeling a little panic coming on, so I’m like, "
4,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","First off, I just almost threw up. Second off, was this your first big injury to your knee?"," So on that one, I tore my ACL, meniscus and my MCL. I’d had other issues before from hyperflexing my knee. That was about six months before the recent one. But the first time I had adrenaline going and was still able to get the clip. It felt shitty afterwards and those results said a similar thing. It was like, "
5,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","Goddamn. This seems to be a uniquely American pro-skater problem. Like if a pro baseball player feels even a slight pinch, they see a string of specialists that go into every diagnostic possible and give them the best PT around. You just have to get the bare minimum and tough it up or walk it out. Seems like we should have the same health standards."," Yeah, with the things that I know now at 34, if I would have been as disciplined when I was 25, God only knows if I would have even had this injury. I’ve learned now that certain muscles and parts of your body, your hips, your pelvic area, your tibialis muscles—which are at the front of your shins—and all these other things all correspond within your body. If one thing is out of whack, then you’re gonna overcompensate for the other. Essentially, that’s what I did for months without realizing it. After my MCL tear, it would hurt; it would pinch a lot. And then all in that day it just gave way. I try to look at people who ride bikes or run or play soccer—not even professionally—they seem to take their body more seriously than most skateboarders do. They train, buy the bibs, the whole kit and it’s just their hobby. Even when skateboarding is your job, we don’t take the same appreciation and care for our bodies."
6,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","Yeah. It’s a hard balance, because you’re not just trying to do tricks, but you’re also selling a look and attitude about street life. If you bomb a hill and you look like you have a diaper full of hip pads, you’re gonna look insane. So you have to also consider the fashionable standards of the moment as well."," As difficult as it is, you can’t go 100-percent into something; you still have to keep the identity you have within skateboarding."
7,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",You can’t go full jock.," Yeah, but I see Stevie Williams on Instagram; he’s in his 40s and he’s fucking jacked. Or I watched this Felipe Gustavo documentary about the rehab stuff he does, and he’s one of the best skaters on the planet. Listening to him talk about training and all these other things, he doesn’t make it his personality or character, but he takes it so seriously and I was like, "
8,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",So you put in the work. You had surgery in June and you’re already cleared to start skating. How is that possible?," Well, I haven’t started skating yet, because I don’t feel confident yet and I don’t want to get overzealous. I’ve been extremely regimented with what my physical therapy has to be. In the past, I broke my ankle and I didn’t do my PT. I realized like, "
9,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",How have you maintained your mental health and your relationship with substances as you’ve had your main outlet taken away?," To be completely transparent, I’ve never stopped smoking weed. So as far as my sobriety, I try to be careful with using that word, because it’s very precious for some people. I just haven’t drank for what’s coming on six years now. I made the choice to stop drinking alcohol because of the issues I was having with my mental health. At the time, alcohol was just exasperating those things. Truth is, I’m getting older. I’m 34; I’ll be 35 by the time I’m able to skate again. So honestly, the biggest thing that upset me the most was my age when the injury happened. I had my surgery on my birthday—"
